Dish Name,Ingredients,Recipe Steps,Calories (per 100g),Diet Type,Type of Dish,Macro Nutrients (per 100g),Dosha,Dish_Numeric,Suitable_for_Encoded,Type_of_Dish_Encoded,Ingredients_Encoded,Recipe Steps_Encoded,Dosha_Numeric,BMI Suitability,BMI_Suitability_Encoded,cooling,highenergy,highfiber,highprotein,hydrating,lowcalorie,lowcarb,lowfat,probiotic,proteinrich,vegan,vegetarian,vitaminrich,ProteinContent,SodiumContent,CholesterolContent,SaturatedFatContent,SugarContent,CarbohydrateContent
Cabbage StirFry,"Cabbage, mustard seeds, turmeric, coconut",1 Heat mustard seeds 2 Add cabbage and turmeric 3 Stirfry until tender,60,['lowfat'],Side Dish,"Protein 1g, Carbs 10g, Fat 2g",kapha,11,1,5,"[33, 13, 28, 34]",[11],3,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,603,23,5.64,8.82,12
Carrot Ginger Soup,"Carrots, ginger, black pepper, vegetable broth",1 Boil carrots and ginger 2 Blend with black pepper and broth,70,['lowfat'],Soup,"Protein 2g, Carbs 12g, Fat 1g",kapha,12,1,4,"[1, 20, 25, 35]",[12],3,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,12,510,32,6.56,6.94,36
Beetroot Salad,"Beetroot, lemon juice, mint, olive oil","1 Boil beetroot 2 Slice, add lemon juice, mint, and olive oil",60,['lowcalorie'],Salad,"Protein 1g, Carbs 10g, Fat 2g",kapha,13,2,3,"[36, 37, 38, 24]",[13],3,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12,740,23,7.4,13.69,38
CuminSpiced Lentils,"Lentils, cumin, coriander, onion, tomatoes","1 Boil lentils 2 Add cumin, coriander, tomatoes, and onions",150,['highfiber'],Main Course,"Protein 6g, Carbs 18g, Fat 4g",kapha,14,5,2,"[39, 16, 32, 40, 6]",[14],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,624,10,9.77,2.56,41
Pumpkin Quinoa,"Pumpkin, quinoa, cinnamon, nutmeg, olive oil",1 Cook quinoa and pumpkin 2 Add cinnamon and nutmeg,130,['lowfat'],Main Course,"Protein 4g, Carbs 25g, Fat 2g",kapha,15,6,2,"[19, 41, 21, 42, 24]",[15],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,6,792,48,5.4,7.9,59
Radish Stir Fry,"Radish, turmeric, mustard seeds, coconut oil","1 Heat mustard seeds 2 Add radish, turmeric, stirfry lightly",40,['lowfat'],Side Dish,"Protein 1g, Carbs 5g, Fat 2g",kapha,16,6,5,"[43, 28, 13, 44]",[16],3,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,290,7,3.57,1.16,67
Spinach Lentil Soup,"Spinach, lentils, garlic, cumin, pepper","1 Boil lentils and spinach 2 Add garlic, cumin, and pepper",90,['highprotein'],Soup,"Protein 5g, Carbs 14g, Fat 1g",kapha,17,3,4,"[45, 18, 46, 16, 47]",[17],3,Overweight,2,0,0,0,1,0,0,0,0,0,0,0,0,0,9,613,35,8.05,7.56,60
Bottle Gourd Curry,"Bottle gourd, turmeric, cumin, coconut milk","1 Cook bottle gourd with turmeric, cumin, and coconut milk",100,['lowfat'],Main Course,"Protein 2g, Carbs 15g, Fat 3g",kapha,18,7,2,"[48, 28, 16, 22]",[18],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,9,145,37,3.07,1.79,28
Lemon Millet Rice,"Millet, lemon juice, curry leaves, mustard seeds","1 Cook millet 2 Add lemon juice, curry leaves, and mustard seeds",120,['lowcalorie'],Side Dish,"Protein 4g, Carbs 22g, Fat 2g",kapha,19,5,5,"[49, 37, 50, 13]",[19],3,Normal,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,783,39,4.67,2.66,30
Broccoli Stir Fry,"Broccoli, garlic, olive oil, black pepper","1 Sautâ broccoli with garlic, olive oil, and black pepper",80,['lowcalorie'],Side Dish,"Protein 2g, Carbs 10g, Fat 3g",kapha,20,6,5,"[51, 46, 24, 25]",[20],3,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,534,19,1.25,2.65,14
Roasted Cauliflower,"Cauliflower, turmeric, black pepper, olive oil","1 Season cauliflower with turmeric, pepper, and olive oil 2 Roast",70,['lowfat'],Side Dish,"Protein 2g, Carbs 8g, Fat 3g",kapha,21,5,5,"[52, 28, 25, 24]",[21],3,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,456,34,0.74,10.09,27
Moringa Soup,"Moringa leaves, garlic, black pepper, water",1 Boil moringa leaves with garlic and pepper 2 Strain and serve,60,['lowcalorie'],Soup,"Protein 3g, Carbs 8g, Fat 1g",kapha,22,2,4,"[53, 46, 25, 54]",[22],3,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,280,47,9.65,11.44,37
Zucchini Stir Fry,"Zucchini, garlic, pepper, olive oil",1 Sautâ zucchini with garlic and black pepper in olive oil,65,['lowcalorie'],Side Dish,"Protein 1g, Carbs 7g, Fat 3g",kapha,23,5,5,"[55, 46, 47, 24]",[23],3,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9,798,24,8.44,9.17,51
Spinach Raita,"Spinach, yogurt, cumin, black salt","1 Mix blanched spinach with yogurt, cumin, and black salt",80,['lowfat'],Side Dish,"Protein 4g, Carbs 6g, Fat 3g",kapha,24,5,5,"[45, 56, 16, 57]",[24],3,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,13,704,34,7.11,14.47,31
Green Gram Sprout Salad,"Green gram sprouts, lemon, cucumber, mint","1 Mix sprouts, lemon juice, cucumber, and mint",70,['highprotein'],Salad,"Protein 5g, Carbs 12g, Fat 1g",kapha,25,7,3,"[58, 10, 9, 38]",[25],3,Overweight,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7,220,24,4.39,6.25,30
Turnip Soup,"Turnip, ginger, black pepper, water",1 Boil turnip and ginger 2 Add pepper and blend until smooth,50,['lowcalorie'],Soup,"Protein 2g, Carbs 7g, Fat 1g",kapha,26,3,4,"[59, 20, 25, 54]",[26],3,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,590,28,2.15,5,15
Mixed Vegetable Soup,"Carrot, beans, broccoli, pepper, water",1 Boil vegetables 2 Add black pepper and blend,55,['lowcalorie'],Soup,"Protein 2g, Carbs 9g, Fat 1g",kapha,27,5,4,"[60, 61, 62, 47, 54]",[27],3,Overweight,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,85,17,1.99,13.16,10
Bitter Gourd Stir Fry,"Bitter gourd, turmeric, onions, mustard seeds","1 Sautâ bitter gourd with turmeric, onions, and mustard seeds",45,['lowfat'],Side Dish,"Protein 2g, Carbs 6g, Fat 1g",kapha,28,6,5,"[63, 28, 7, 13]",[28],3,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,574,45,2.88,4.13,14
Lauki Chana Dal,"Bottle gourd, chana dal, turmeric, cumin","1 Cook chana dal and bottle gourd with turmeric, cumin, and water",120,['highprotein'],Main Course,"Protein 6g, Carbs 18g, Fat 2g",kapha,29,5,2,"[48, 64, 28, 16]",[29],3,Normal,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,209,17,5.72,14.49,50
Bajra Khichdi,"Pearl millet, green gram, cumin, ginger","1 Cook bajra and green gram with cumin, ginger, and water",130,['highfiber'],Main Course,"Protein 5g, Carbs 22g, Fat 1g",kapha,30,6,2,"[65, 66, 16, 20]",[30],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,13,748,1,7.29,1.17,21
Kodo Millet Upma,"Kodo millet, vegetables, curry leaves, mustard seeds","1 Cook kodo millet and sautâ with veggies, curry leaves, and mustard seeds",110,['lowfat'],Main Course,"Protein 4g, Carbs 20g, Fat 2g",kapha,31,1,2,"[67, 12, 50, 13]",[31],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,11,292,34,6.77,14.58,35
Methi Dal,"Yellow lentils, fenugreek leaves, cumin, turmeric",1 Boil lentils and methi leaves with cumin and turmeric,100,['highfiber'],Main Course,"Protein 6g, Carbs 15g, Fat 2g",kapha,32,2,2,"[68, 69, 16, 28]",[32],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,7,135,15,3.16,1.6,55
Quinoa Vegetable Pulao,"Quinoa, carrots, beans, cumin, black pepper","1 Cook quinoa with vegetables, cumin, and black pepper",140,['lowfat'],Main Course,"Protein 5g, Carbs 25g, Fat 3g",kapha,33,5,2,"[11, 70, 61, 16, 25]",[33],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,14,627,40,9.57,13.48,43
Moong Dal Tadka,"Green gram, garlic, cumin, turmeric","1 Boil green gram 2 Add garlic, cumin, and turmeric tempering",110,['lowfat'],Main Course,"Protein 7g, Carbs 18g, Fat 2g",kapha,34,2,2,"[71, 46, 16, 28]",[34],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,13,731,35,7.51,8.39,58
Cabbage Stir Fry Rice,"Brown rice, cabbage, turmeric, black pepper",1 Stirfry cabbage with turmeric and pepper 2 Mix with cooked brown rice,130,['lowfat'],Main Course,"Protein 4g, Carbs 24g, Fat 2g",kapha,35,5,2,"[72, 73, 28, 25]",[35],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,10,606,32,5.77,14.9,23
Sprouted Moong Biryani,"Sprouted moong, brown rice, onions, cloves","1 Cook sprouted moong and rice with onions, cloves, and mild spices",140,['highfiber'],Main Course,"Protein 6g, Carbs 22g, Fat 3g",kapha,36,1,2,"[74, 75, 7, 76]",[36],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,623,3,6.31,2.03,35
Pithla,"Chickpea flour, turmeric, spices",1 Mix flour in water 2 Cook with spices till thick,160,['highfiber'],Curry,"Protein 7g, Carbs 25g, Fat 4g",kapha,37,8,6,"[77, 28, 4]",[37],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,12,695,32,4.49,8.75,54
Kothimbir Vadi,"Coriander, chickpea flour, spices","1 Mix coriander, flour, spices 2 Steam and shallow fry",210,['highfiber'],Snack,"Protein 5g, Carbs 30g, Fat 6g",kapha,38,5,7,"[78, 79, 4]",[38],3,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,77,13,2.85,14.57,36
Bharli Bhindi,"Ladyfinger, peanuts, spices",1 Stuff ladyfingers with spiced peanut mix 2 SautÃ till cooked,170,['lowfat'],Curry,"Protein 4g, Carbs 15g, Fat 8g",kapha,39,7,6,"[80, 81, 4]",[39],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,11,669,20,3.88,8.32,18
Zunka,"Chickpea flour, onions, spices",1 Cook flour with spices and onions 2 Serve as dry curry,190,['highfiber'],Curry,"Protein 7g, Carbs 27g, Fat 4g",kapha,40,8,6,"[77, 7, 4]",[40],3,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,605,47,7.7,9.81,35
Bharli Vangi,"Brinjal, peanuts, sesame seeds",1 Stuff brinjals with peanutsesame masala 2 Cook till tender,190,['highfiber'],Curry,"Protein 6g, Carbs 17g, Fat 10g",kapha,41,7,6,"[82, 81, 83]",[41],3,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,389,19,0.64,10.74,66
Amti Dal,"Toor dal, kokum, jaggery, spices",1 Cook dal and add kokumjaggery tempering 2 Serve hot,160,['highfiber'],Curry,"Protein 8g, Carbs 25g, Fat 3g",kapha,42,8,6,"[84, 85, 86, 4]",[42],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,380,7,1.6,7.36,56
Tomato Chutney,"Tomatoes, onion, green chili, spices",1 Cook all ingredients 2 Blend until smooth,50,['vegan'],Side Dish,"Protein 1g, Carbs 10g, Fat 0g",vata,43,2,5,"[87, 40, 88, 4]",[43],1,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,13,689,6,0.94,9.79,66
Masala Oats,"Oats, vegetables, spices","1 Saut veggies, add oats and water, cook",130,['highfiber'],Main Course,"Protein 5g, Carbs 24g, Fat 3g",vata,44,3,2,"[89, 12, 4]",[44],1,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,8,555,2,0.89,9.18,31
Kadhi Pakora,"Gram flour, yogurt, spices, vegetables",1 Make batter for pakoras 2 Fry and add to yogurt gravy,180,['vegan'],Main Course,"Protein 6g, Carbs 25g, Fat 5g",vata,45,1,2,"[90, 56, 4, 12]",[45],1,Underweight,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,397,16,8.63,13.62,56
Ragi Dosa,"Ragi flour, rice, spices","1 Soak rice, blend with ragi 2 Cook on skillet",120,['highfiber'],Snack,"Protein 6g, Carbs 22g, Fat 3g",vata,46,3,7,"[91, 92, 4]",[46],1,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10,522,32,7.18,1.64,65
Paneer Tikka,"Paneer, yogurt, spices, bell peppers",1 Marinate paneer and veggies                2 Grill until charred,150,['highprotein'],Snack,"Protein12g, Carbs10g, Fat 8g",vata,47,2,7,"[93, 56, 4, 94]",[47],1,Normal,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,280,47,5,4.93,39
Khaman Dhokla,"Gram flour, yogurt, spices","1 Mix batter, steam until fluffy    2Cut into pieces and serve",90,['vegan'],Snack,"Protein 6g, Carbs 15g, Fat 2g",vata,48,1,7,"[90, 56, 4]",[48],1,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,239,11,1.43,14.31,52
Beetroot Curry,"Beetroot, spices, coconut",1 Cook beetroot with spices and coconut until tender,80,['vegan'],Main Course,"Protein 2g, Carbs 15g, Fat 3g",vata,49,1,2,"[36, 4, 34]",[49],1,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,274,21,5.17,13.46,57
Corn and Spinach Soup,"Corn, spinach, vegetable broth","1 Boil corn and spinach in broth, blend until smooth",50,['vegan'],Soup,"Protein 2g, Carbs 10g, Fat 1g",vata,50,1,4,"[95, 96, 35]",[50],1,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,434,21,5,7.38,26
Stuffed capsicum,"Bell Peppers, paneer, spices",1 Mix crumbled paneer with spices 2 Stuff the mixture into halved bell peppers 3 Bake at 180Å³C for 20 minutes,130,['highprotein'],Main Course,"Protein10g, Carbs 8g, Fat 5g",vata,51,7,2,"[97, 98, 4]",[51],1,Normal,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,426,45,2.15,9.68,35
Mushroom Curry,"Mushrooms onions, tomatoes, spices",1saute onions and mushrooms and cook until soft 2add tomatoes and spices simmer For 10 minutes,100,['vegan'],Main Course,"Protein6g,Carbs12g, Fat4g",vata,52,2,2,"[99, 6, 4]",[52],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,10,332,29,4.62,4.88,45
Pongal,Rice moong dal spices,1Dry roast moong dal 2cook rice and dal together with water and spices until soft,130,['highfiber'],Main Course,"Protein5g,Carbs25g, Fat2g",vata,53,1,2,[100],[53],1,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,8,682,37,4.29,3.63,10
Kootu,"Mixed vegetables lentils, coconut",1cook lentils and vegetables together 2add grated coconut and spices simmer for five minutes,140,['vegan'],Main Course,"Protein5g,Carbs25g, Fat2g",vata,54,2,2,"[101, 34]",[54],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,677,37,6.35,7.49,17
Paneer Burji,"Paneer, tomatoes onion, spices","1 crumble paneer 2 saute onions add tomatoes and spices, then mix in paneer",160,['highprotein'],Main Course,"Protein15g,Carbs6g, Fat10g",vata,55,7,2,"[93, 102, 4]",[55],1,Normal,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,794,44,6.53,5.95,58
Namak Para,"whole wheat flour,spices","1 Make a dough with flour and spices 2 Roll out, cut into strips, and deep fry until golden",20,['lowfat'],Snack,"Protein5g,Carbs35g, Fat5g",vata,56,5,7,"[103, 4]",[56],1,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,308,7,0.93,9.17,44
Pineapple raita,"Pineapple,yogurt, spices","1Chop pineapple and mix with yogurt and spices, serve chill",70,"['lowfat', 'vegan']",Side Dish,"Protein3g,Carbs10g, Fat1g",vata,57,1,5,"[104, 56, 4]",[57],1,Overweight,2,0,0,0,0,0,0,0,1,0,0,1,0,0,13,408,26,4.06,2.09,61
Bhaji,"Mixed vegetables, chickpea,spices",1 Make a batter with flour and spices 2 Coat vegetables and deep fry,190,['vegan'],Snack,"Protein4g,Carbs30g, Fat7g",vata,58,1,7,"[105, 106, 4]",[58],1,Underweight,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,759,26,6.45,14.64,24
Carrot Halwa,"Carrots, milk, nuts, sugar","1 Grate carrots,             cook in milk until dry    2 Add sugar and nuts, mix well",180,['highfiber'],Dessert,"Protein3g,Carbs28g, Fat12g",vata,59,1,1,"[1, 2, 3, 107]",[59],1,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,505,33,5.28,14.81,56
Coconut Chutney,"Coconut, green chili, spices",1 Blend coconut with chilies and spices 2 Serve with idli or dosa,150,['vegan'],Side Dish,"Protein2g,Carbs8g, Fat15g",vata,60,2,5,"[108, 88, 4]",[60],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,10,460,20,8.64,10.77,65
Methi Rice,"Rice, fenugreek,  leaves ,spices",Saute Fenugreek  add rice and spices  cook until done,130,['highfiber'],Main Course,"Protein4g,Carbs24g, Fat2g",vata,61,2,2,"[17, 109, 110, 4]",[61],1,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,11,698,29,6.76,8.51,31
Vegetable Dalia,"Broken wheat ,  mixed vegetables  spices",Cook weat with vegetables and add spices and cook  until done,120,['highfiber'],Main Course,"Protein6g,Carbs20g, Fat2g",vata,62,3,2,"[111, 112]",[62],1,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,6,367,32,2.05,5.33,23
Bhutta Corn  on the Cob,"Corn, lemon, spices",1 Roast or boil cornn2 Rub with lemon juice and spices before serving,80,"['highfiber', 'vegan']",Snack,"Protein3g,Carbs18g, Fat1g",vata,63,1,7,"[95, 10, 4]",[63],1,Overweight,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,726,27,1.17,12.39,35
Palak Chole,"Spinach, chickpeas, onions, garlic, spices","1 Saut garlic, onions, and spicesn2 Add boiled chickpeas and spinach puree, and simmer",90,"['highfiber', 'vegan']",Main Course,"Protein6g,Carbs14g, Fat3g",vata,64,2,2,"[45, 113, 7, 46, 4]",[64],1,Overweight,2,0,0,1,0,0,0,0,0,0,0,1,0,0,5,274,46,6.6,10.59,37
Bottle Gourd Soup,"Bottle gourd,  onions, garlic,  cumin","1 Boil bottle gourd with onions, garlic, and cuminn2 Blend to make a creamy Soup",40,"['lowcarb', 'lowfat']",Soup,"Protein1g,Carbs8g, Fat0g",vata,65,2,4,"[48, 7, 46, 16]",[65],1,Overweight,2,0,0,0,0,0,0,1,1,0,0,0,0,0,13,283,32,0.75,3.28,32
Amla Rice,"Rice, amla Indian gooseberry, mustard seeds, curry leaves","1 Cook ricen2 Saut mustard seeds, curry leaves, and amla, then mix with rice",130,"['highfiber', 'vegan']",Main Course,"Protein3g,Carbs25g, Fat4g",vata,66,3,2,"[17, 114, 13, 50]",[66],1,Normal,3,0,0,1,0,0,0,0,0,0,0,1,0,0,13,733,4,6.06,13.75,23
Lapsi Broken Wheat Dessert,"Bitter gourd, onions, spices, mustard seeds","1 Saut mustard seeds, onions, and spicesn2 Add sliced bitter gourd and cook until soft",50,"['lowcarb', 'vegan']",Main Course,"Protein2g,Carbs7g, Fat2g",vata,67,3,2,"[63, 7, 4, 13]",[67],1,Overweight,2,0,0,0,0,0,0,1,0,0,0,1,0,0,8,713,47,9.43,12.52,33
Pumpkin Thepla,"Pumpkin puree, whole wheat flour, spices","1 Mix flour, pumpkin puree, and spices into doughn2 Roll and cook on tawa until golden brown",100,"['highfiber', 'vegan']",Snack,"Protein3g,Carbs17g, Fat2g",vata,68,2,7,"[115, 103, 4]",[68],1,Normal,3,0,0,1,0,0,0,0,0,0,0,1,0,0,13,423,18,5.97,14.3,11
Cucumber Mint Raita,"Cucumber, yogurt, mint leaves, cumin","1 Grate cucumber and mix with yogurt, mint, and cumin powdern2 Serve chilled",50,"['lowcarb', 'probiotic']",Side Dish,"Protein2g,Carbs3g, Fat2g",vata,69,2,5,"[116, 56, 117, 16]",[69],1,Overweight,2,0,0,0,0,0,0,1,0,1,0,0,0,0,14,721,3,4.19,11.16,54
Cabbage Poriyal,"Cabbage, coconut, mustard seeds, curry leaves","1 Saut mustard seeds, curry leaves, and cabbagen2 Add grated coconut before serving",80,"['lowcarb', 'vegan']",Side Dish,"Protein2g,Carbs9g, Fat3g",vata,70,4,5,"[33, 34, 13, 50]",[70],1,Overweight,2,0,0,0,0,0,0,1,0,0,0,1,0,0,9,657,34,6.61,9.59,35
Drumstick Soup,"Drumsticks, onions, garlic, cumin, spices",1 Boil drumsticks and onions with spicesn2 Blend into a smooth Soup and strain before serving,50,"['lowcarb', 'lowfat']",Soup,"Protein16g,Carbs8g, Fat1g",vata,71,6,4,"[118, 7, 46, 16, 4]",[71],1,Overweight,2,0,0,0,0,0,0,1,1,0,0,0,0,0,4,521,48,4.85,6.86,23
Beetroot Raita,"Beetroot, yogurt, cumin, mustard seeds, curry leaves","1 Grate beetroot and mix with yogurt 2 Temper with cumin, mustard seeds, and curry leaves",80,"['lowcarb', 'probiotic']",Side Dish,"Protein3g,Carbs12g, Fat3g",vata,72,2,5,"[36, 56, 16, 13, 50]",[72],1,Overweight,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,282,16,5.68,14.06,68
Rajma Chawal,"Kidney beans, rice, onion, tomatoes","Cook rajma, serve with rice",130,['highfiber'],Main Course,"Protein 7g, Carbs 22g, Fat 2g",vata,73,1,2,"[119, 92, 40, 6]",[73],1,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,741,43,9.44,13.12,65
Poha,"Flattened rice, peanuts, spices",Saut poha with spices,110,['vegan'],Snack,"Protein 3g, Carbs 18g, Fat 4g",vata,74,1,7,"[120, 81, 4]",[74],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,162,27,4.17,1.63,60
Pesarattu,"Green gram, spices","Make batter, cook on tawa",120,['vegan'],Snack,"Protein 10g, Carbs 18g, Fat 2g",vata,75,2,7,"[71, 4]",[75],1,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,9,546,29,9.63,1.37,16
Kadai Paneer,"Paneer, capsicum, tomatoes, spices",Saut paneer with veggies,180,['vegetarian'],Main Course,"Protein 10g, Carbs 10g, Fat 12g",vata,76,1,2,"[93, 121, 6, 4]",[76],1,Underweight,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,491,28,9.1,6.27,12
Sambar,"Lentils, tamarind, vegetables, spices",Cook lentils with veggies,90,['vegan'],Main Course,"Protein 5g, Carbs 12g, Fat 2g",vata,77,2,2,"[39, 122, 12, 4]",[77],1,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,613,45,2.36,12.35,56
Dahi Bhalla,"Urad dal, yogurt, spices","Soak dal, make balls, serve with yogurt",150,['vegetarian'],Snack,"Protein 7g, Carbs 20g, Fat 5g",vata,78,1,7,"[123, 56, 4]",[78],1,Normal,3,0,0,0,0,0,0,0,0,0,0,0,1,0,7,317,5,1.16,14.82,32
